Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login Website,Chrome 131.0.0.0,,,05-12-2024 08:21:58,05-12-2024 08:24:16,2m - 17.769s,PASSED
,,,,,,,
Test Cases/Login Website/TC 003 Login berhasil,Chrome 131.0.0.0,,,05-12-2024 08:21:58,05-12-2024 08:22:34,35.432s,PASSED
"callTestCase(findTestCase(""openWebsite/TC 001 Link website benar""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,05-12-2024 08:22:00,05-12-2024 08:22:17,17.779s,PASSED
"click(findTestObject(""Login/inputUsername""))",Chrome 131.0.0.0,,,05-12-2024 08:22:17,05-12-2024 08:22:19,2.009s,PASSED
"setText(findTestObject(""Login/inputUsername""), ""admin"")",Chrome 131.0.0.0,,,05-12-2024 08:22:19,05-12-2024 08:22:22,2.290s,PASSED
"click(findTestObject(""Login/inputPaasword""))",Chrome 131.0.0.0,,,05-12-2024 08:22:22,05-12-2024 08:22:22,0.620s,PASSED
"setText(findTestObject(""Login/inputPaasword""), ""admin123"")",Chrome 131.0.0.0,,,05-12-2024 08:22:22,05-12-2024 08:22:24,2.080s,PASSED
"click(findTestObject(""Login/buttonLogin""))",Chrome 131.0.0.0,,,05-12-2024 08:22:24,05-12-2024 08:22:27,2.766s,PASSED
"verifyElementPresent(findTestObject(""Dashboard/textDashboard""), 0)",Chrome 131.0.0.0,,,05-12-2024 08:22:27,05-12-2024 08:22:30,3.018s,PASSED
delay(2),Chrome 131.0.0.0,,,05-12-2024 08:22:30,05-12-2024 08:22:32,2.102s,PASSED
closeBrowser(),Chrome 131.0.0.0,,,05-12-2024 08:22:32,05-12-2024 08:22:34,1.562s,PASSED
,,,,,,,
Test Cases/Login Website/TC 004 Login gagal username salah,Chrome 131.0.0.0,,,05-12-2024 08:22:34,05-12-2024 08:22:54,20.305s,PASSED
"callTestCase(findTestCase(""openWebsite/TC 001 Link website benar""), [:], STOP_ON_FAILURE)",Chrome 131.0.0.0,,,05-12-2024 08:22:34,05-12-2024 08:22:43,9.112s,PASSED
